user_id,event_name,platform,timestamp,month,date_only
460,view_invoice,ios,2026-01-19 22:46:15,1,2026-01-19
320,click_pay,android,2026-01-19 22:48:14,1,2026-01-19
39,view_invoice,web,2026-01-19 22:52:15,1,2026-01-19
251,view_invoice,android,2026-01-19 23:03:15,1,2026-01-19
169,enter_meter_reading,ios,2026-01-19 23:08:14,1,2026-01-19
287,app_open,android,2026-01-19 23:17:14,1,2026-01-19
213,view_invoice,android,2026-01-19 23:38:15,1,2026-01-19
394,app_open,web,2026-01-19 23:44:14,1,2026-01-19
135,view_invoice,web,2026-01-19 23:49:15,1,2026-01-19
445,payment_success,ios,2026-01-19 23:53:15,1,2026-01-19
452,app_open,ios,2026-01-20 00:02:15,1,2026-01-20
226,app_open,ios,2026-01-20 00:06:14,1,2026-01-20
193,app_open,web,2026-01-20 00:06:15,1,2026-01-20
241,app_open,ios,2026-01-20 00:28:15,1,2026-01-20
82,app_open,android,2026-01-20 00:34:15,1,2026-01-20
400,app_open,web,2026-01-20 00:37:15,1,2026-01-20
20,view_invoice,ios,2026-01-20 00:39:15,1,2026-01-20
126,enter_meter_reading,android,2026-01-20 00:47:15,1,2026-01-20
21,app_open,web,2026-01-20 01:06:14,1,2026-01-20
11,app_open,ios,2026-01-20 01:14:15,1,2026-01-20
428,app_open,web,2026-01-20 01:16:15,1,2026-01-20
200,app_open,web,2026-01-20 01:19:15,1,2026-01-20
159,app_open,ios,2026-01-20 01:40:14,1,2026-01-20
361,click_pay,web,2026-01-20 01:46:15,1,2026-01-20
341,enter_meter_reading,web,2026-01-20 01:46:15,1,2026-01-20
242,view_invoice,ios,2026-01-20 01:50:15,1,2026-01-20
56,enter_meter_reading,ios,2026-01-20 01:55:14,1,2026-01-20
44,payment_success,android,2026-01-20 02:05:15,1,2026-01-20
118,view_invoice,android,2026-01-20 02:19:15,1,2026-01-20
447,view_invoice,ios,2026-01-20 02:26:15,1,2026-01-20
244,enter_meter_reading,android,2026-01-20 02:32:15,1,2026-01-20
104,view_invoice,android,2026-01-20 02:38:15,1,2026-01-20
284,view_invoice,android,2026-01-20 02:44:15,1,2026-01-20
353,payment_success,ios,2026-01-20 02:50:15,1,2026-01-20
146,payment_success,web,2026-01-20 02:59:15,1,2026-01-20
95,app_open,web,2026-01-20 03:03:14,1,2026-01-20
364,enter_meter_reading,web,2026-01-20 03:07:15,1,2026-01-20
487,app_open,android,2026-01-20 03:16:15,1,2026-01-20
405,app_open,ios,2026-01-20 03:23:15,1,2026-01-20
7,app_open,web,2026-01-20 03:34:15,1,2026-01-20
297,app_open,android,2026-01-20 03:44:14,1,2026-01-20
347,view_invoice,ios,2026-01-20 03:45:14,1,2026-01-20
495,enter_meter_reading,web,2026-01-20 03:50:15,1,2026-01-20
330,payment_success,android,2026-01-20 03:51:15,1,2026-01-20
19,enter_meter_reading,web,2026-01-20 04:28:15,1,2026-01-20
222,view_invoice,android,2026-01-20 04:32:14,1,2026-01-20
201,enter_meter_reading,web,2026-01-20 04:35:15,1,2026-01-20
356,view_invoice,web,2026-01-20 04:52:15,1,2026-01-20
475,view_invoice,web,2026-01-20 04:59:14,1,2026-01-20
269,view_invoice,web,2026-01-20 05:14:15,1,2026-01-20
271,app_open,android,2026-01-20 05:23:14,1,2026-01-20
192,enter_meter_reading,ios,2026-01-20 05:36:15,1,2026-01-20
235,app_open,ios,2026-01-20 05:45:15,1,2026-01-20
400,app_open,web,2026-01-20 05:48:14,1,2026-01-20
393,view_invoice,web,2026-01-20 05:48:15,1,2026-01-20
261,click_pay,ios,2026-01-20 05:59:15,1,2026-01-20
